customerID,Churn,customer.gender,customer.SeniorCitizen,customer.Partner,customer.Dependents,customer.tenure,phone.PhoneService,phone.MultipleLines,internet.InternetService,internet.OnlineSecurity,internet.OnlineBackup,internet.DeviceProtection,internet.TechSupport,internet.StreamingTV,internet.StreamingMovies,account.Contract,account.PaperlessBilling,account.PaymentMethod,account.Charges.Monthly,account.Charges.Total
0002-ORFBO,False,Female,False,True,True,9,True,False,DSL,0,1,0,1,1,0,One year,True,Mailed check,65.6,593.3
0003-MKNFE,False,Male,False,False,False,9,True,True,DSL,0,0,0,0,0,1,Month-to-month,False,Mailed check,59.9,542.4
0004-TLHLJ,True,Male,False,False,False,4,True,False,Fiber optic,0,0,1,0,0,0,Month-to-month,True,Electronic check,73.9,280.85
0011-IGKFF,True,Male,True,True,False,13,True,False,Fiber optic,0,1,1,0,1,1,Month-to-month,True,Electronic check,98.0,1237.85
0013-EXCHZ,True,Female,True,True,False,3,True,False,Fiber optic,0,0,0,1,1,0,Month-to-month,True,Mailed check,83.9,267.4
0013-MHZWF,False,Female,False,False,True,9,True,False,DSL,0,0,0,1,1,1,Month-to-month,True,Credit card (automatic),69.4,571.45
0013-SMEOE,False,Female,True,True,False,71,True,False,Fiber optic,1,1,1,1,1,1,Two year,True,Bank transfer (automatic),109.7,7904.25
0014-BMAQU,False,Male,False,True,False,63,True,True,Fiber optic,1,0,0,1,0,0,Two year,True,Credit card (automatic),84.65,5377.8
0015-UOCOJ,False,Female,True,False,False,7,True,False,DSL,1,0,0,0,0,0,Month-to-month,True,Electronic check,48.2,340.35
0016-QLJIS,False,Female,False,True,True,65,True,True,DSL,1,1,1,1,1,1,Two year,True,Mailed check,90.45,5957.9
0017-DINOC,False,Male,False,False,False,54,False,True,DSL,1,0,0,1,1,0,Two year,False,Credit card (automatic),45.2,2460.55
0017-IUDMW,False,Female,False,True,True,72,True,True,Fiber optic,1,1,1,1,1,1,Two year,True,Credit card (automatic),116.8,8456.75
0018-NYROU,False,Female,False,True,False,5,True,False,Fiber optic,0,0,0,0,0,0,Month-to-month,True,Electronic check,68.95,351.5
0019-EFAEP,False,Female,False,False,False,72,True,True,Fiber optic,1,1,1,0,1,0,Two year,True,Bank transfer (automatic),101.3,7261.25
0019-GFNTW,False,Female,False,False,False,56,False,True,DSL,1,1,1,1,0,0,Two year,False,Bank transfer (automatic),45.05,2560.1
0020-INWCK,False,Female,False,True,True,71,True,True,Fiber optic,0,1,1,0,0,1,Two year,True,Credit card (automatic),95.75,6849.4
0020-JDNXP,False,Female,False,True,True,34,False,True,DSL,1,0,1,1,1,1,One year,False,Mailed check,61.25,1993.2
0021-IKXGC,False,Female,True,False,False,1,True,True,Fiber optic,0,0,0,0,0,0,Month-to-month,True,Electronic check,72.1,72.1
